"Taxa";"Prevalence";"Taxonomic level";"Null_model";"ada2020.fit";"rf2020.fit";"ada2021.fit";"rf2021.fit";"ada2022.fit";"rf2022.fit";"ada2023.fit";"rf2023.fit";"ada2024.fit";"rf2024.fit";"expl.pow_ada2020.fit";"expl.pow_rf2020.fit";"expl.pow_ada2021.fit";"expl.pow_rf2021.fit";"expl.pow_ada2022.fit";"expl.pow_rf2022.fit";"expl.pow_ada2023.fit";"expl.pow_rf2023.fit";"expl.pow_ada2024.fit";"expl.pow_rf2024.fit";"ada2020.pred";"rf2020.pred";"ada2021.pred";"rf2021.pred";"ada2022.pred";"rf2022.pred";"ada2023.pred";"rf2023.pred";"ada2024.pred";"rf2024.pred";"expl.pow_ada2020.pred";"expl.pow_rf2020.pred";"expl.pow_ada2021.pred";"expl.pow_rf2021.pred";"expl.pow_ada2022.pred";"expl.pow_rf2022.pred";"expl.pow_ada2023.pred";"expl.pow_rf2023.pred";"expl.pow_ada2024.pred";"expl.pow_rf2024.pred";"ada2020.likelihood.ratio";"rf2020.likelihood.ratio";"ada2021.likelihood.ratio";"rf2021.likelihood.ratio";"ada2022.likelihood.ratio";"rf2022.likelihood.ratio";"ada2023.likelihood.ratio";"rf2023.likelihood.ratio";"ada2024.likelihood.ratio";"rf2024.likelihood.ratio";"Big.model.diff";"Big.pred.expl.pow.diff";"chGLM.model.diff";"chGLM.pred.expl.pow.diff"
"Occurrence.Simuliidae";0.923019709929342;"family";0.542663038656323;0.469770621115975;0.154401563559826;0.471104441684781;0.155572883754494;0.475850746235552;0.155900033271425;0.457489395570561;0.155337763477463;0.421601287755663;0.155198182376203;0.134323534768161;0.715474332023539;0.131865618024634;0.713315865145884;0.123119298093718;0.712713005740274;0.156954937075977;0.713749136366296;0.223088256020565;0.714006351417472;0.484837524653621;0.480906903171776;0.485385800943804;0.487030035600041;0.482845746949224;0.487300636497252;0.477150702384128;0.495486544633351;0.471027927970942;0.49982374138924;0.106558784887732;0.113801993291196;0.105548440988982;0.102518504289574;0.110229161461248;0.102019850653829;0.120723785490179;0.0869351525023426;0.132006614754443;0.0789427217544729;0.992494853555422;0.849376549491385;0.9928847544484;0.84727617413609;0.996508608773234;0.847300130623849;0.990217509512887;0.843602058217431;0.97558955385086;0.841715860519764;"ada2024-rf2024";0.0530638929999701;NA;NA
"Occurrence.Limoniidae";0.865005578281889;"family";0.791543597715128;0.702436346891753;0.236528228394654;0.719052970906575;0.235724967104557;0.680164619960158;0.236798621493633;0.732221354219974;0.235722383668274;0.697720686472544;0.234693453871009;0.112574027609588;0.70118104792027;0.0915813443729503;0.702195851517211;0.140711109377269;0.700839445638653;0.0749450108198643;0.702199115312523;0.118531577431001;0.703499018186143;0.7131817272718;0.744666507018116;0.716439341520756;0.7534073917094;0.707193108172503;0.759496609709208;0.727959308804599;0.763346403874736;0.699985621038459;0.758796105435716;0.0989988052073538;0.0592223736409822;0.0948832842703401;0.0481795394666982;0.106564552838418;0.0404866997830916;0.0803294841801157;0.0356230458079462;0.115670162630285;0.0413716848622637;0.994641716896763;0.775638173103123;1.00130766894731;0.771945588775178;0.986576663314907;0.770012143016245;1.00213329495036;0.768117924494168;0.998868173716123;0.769471528965812;"ada2024-rf2023";0.0800471168223386;NA;NA
"Occurrence.Limnephilidae";0.822238750464857;"family";0.935963459055595;0.716717689784511;0.257335349711572;0.722476513628971;0.256427354896912;0.696840942441025;0.257793148215631;0.713451397734298;0.257189124586675;0.692675542787265;0.256870635633323;0.234246077824776;0.725058337244033;0.228093248044145;0.72602845504711;0.255482748072077;0.72456921718317;0.237735842322109;0.725214566767186;0.259933135118129;0.725554846027311;1.1694071796615;1.16570808091688;1.19649622730726;1.16327676652407;1.21621475244444;1.16985154708356;1.19853179753524;1.18121041160572;1.18021405028455;1.16534598151772;-0.24941542145401;-0.245463238589574;-0.278357841570597;-0.242865579066347;-0.299425464399677;-0.24989019150808;-0.280532680992247;-0.262026204310992;-0.260961674161306;-0.245076365153801;0.797443139786361;0.634964386697816;0.788983511095725;0.635448197764987;0.771293035994956;0.63379533036346;0.78463220480818;0.630015634328824;0.783668441957;0.63493180920017;"rf2021-ada2022";0.0565598853333295;NA;NA
"Occurrence.Rhyacophilidae";0.805875790256601;"family";0.984296306063927;0.852637036601886;0.301967840114784;0.854959637233552;0.302208532674284;0.856476311890239;0.303324849389281;0.84810280094799;0.303978454447259;0.887848289591763;0.302015480225609;0.133759792301293;0.69321449419808;0.13140013635485;0.692969961573079;0.129859264315259;0.691835834879603;0.138366368213407;0.691171802053358;0.0979867707294836;0.693166094025761;0.762731958947416;0.913675947215635;0.765422118618801;0.858360417595461;0.776807477099382;0.899086758516869;0.784857445355935;0.877153458175148;0.793349770158825;0.885867091820174;0.225099236633852;0.071747052603188;0.222366157524633;0.127945099146076;0.210799154366703;0.0865690006374198;0.202620755030081;0.108852229992845;0.193992941687115;0.0999995769946134;1.04597821537784;0.736494100311758;1.04578600366647;0.757239312714021;1.04063844830101;0.742389712594649;1.03212798701595;0.750821377386635;1.04838329623729;0.746823943924947;"ada2020-rf2020";0.153352184030664;NA;NA
"Occurrence.Elmidae";0.764968389735961;"family";1.09056995358128;0.632686135444382;0.233244653980656;0.682732245210366;0.233273903792568;0.681310535056362;0.232662909774321;0.683326947227658;0.231921417828801;0.682949164320988;0.233649494099557;0.419857356819039;0.786125912221667;0.373967490147359;0.786099091556182;0.375271129725302;0.786659343575083;0.373422177106835;0.787339255893486;0.373768585794723;0.785754693376354;0.362691021872616;0.385761954490105;0.367546564769421;0.386139232276448;0.378771874212696;0.37688954880578;0.369646095394105;0.38676761895399;0.370205474748814;0.385168595836754;0.66742984190827;0.646274910450892;0.662977543473989;0.645928964933959;0.652684476618064;0.654410478146654;0.661052375246321;0.645352764686118;0.660539451382178;0.646818991691534;1.1445339880063;0.926576516310781;1.1706894400023;0.926415293064675;1.16330993064735;0.930425454475115;1.16980892781898;0.92549819195051;1.1692609058353;0.927039085505669;"ada2020-rf2023";0.0220770772221526;NA;NA
"Occurrence.Gammaridae";0.732986240238007;"family";1.16053196633123;0.514951223072314;0.170929998465442;0.512408482938462;0.170639918596297;0.552185504595504;0.170793850698475;0.560478192283463;0.169677629560781;0.51008348962463;0.169423007524182;0.556280018119432;0.852714097134437;0.558471030696096;0.852964051360224;0.524196212930594;0.852831412099399;0.517050621142912;0.853793230618903;0.560474416540936;0.854012631759058;0.46466921160381;0.898962871495663;0.486900058414975;0.846428365516617;0.47404422661791;0.861854446148074;0.483008916309335;0.958205282409461;0.500884457954319;0.882376462428249;0.599606710470233;0.225387238287337;0.580450972019148;0.270654846162992;0.591528505572752;0.257362596505946;0.583803867259027;0.174339604415536;0.568400981200237;0.23967931256759;1.02545970602929;0.694879773247153;1.01283589412014;0.713270731218063;1.03984393457992;0.707844885389432;1.03949460466714;0.674176167287982;1.00461010984432;0.700138765293019;"ada2020-rf2023";0.425267106054698;NA;NA
"Occurrence.Heptageniidae";0.7244328746746;"family";1.17743548541178;0.843174126175404;0.283371879234129;0.81932239839261;0.281671283017644;0.850209498612905;0.282774218679943;0.816953422725681;0.283653955271745;0.872303666042247;0.284263948745914;0.283889319948158;0.759331290125823;0.304146674239168;0.760775612330781;0.277914153983935;0.759838885286315;0.306158653405993;0.759091721978685;0.259149501734971;0.758573652426911;0.993230962842664;1.09055024715382;0.981346975056283;1.08063748124427;1.01359151427066;1.0901304704075;0.975885745995282;1.0605181076437;0.991798982868156;1.08175072093594;0.156445533408312;0.0737919311371645;0.166538645034062;0.0822108772555454;0.139153247180947;0.0741484489689491;0.171176885624451;0.0992983303260922;0.157661718916775;0.0812653989635639;0.927717121779255;0.667918456529864;0.922182359292137;0.670666624627472;0.921556668503346;0.66785905323243;0.923609272867707;0.678119280763528;0.942002209927829;0.671162908992023;"ada2023-rf2020";0.0973849544872868;NA;NA
"Occurrence.Nemouridae";0.707698029007066;"family";1.2083999653351;0.646060342076234;0.21839550536789;0.640035172439861;0.238073485926526;0.700102891774885;0.237043458830336;0.642778709139466;0.236533920912482;0.700343588894717;0.238022416312143;0.465358854179483;0.819268858297818;0.470344926514152;0.80298453098639;0.420636451623252;0.803836920200009;0.468074538581093;0.804258583500631;0.420437264990732;0.803026793164351;1.07223897245784;1.08993087204386;1.05907850533028;1.08797479482139;1.09073929615328;1.0818839244145;1.03567254215658;1.09124168354036;1.08318820231204;1.0821758239699;0.112678746096704;0.0980379813718343;0.123569566607373;0.0996567146377914;0.0973689776209102;0.10469715702575;0.142938950789048;0.0969532316746274;0.103617814146775;0.104455598300353;0.80808395982021;0.646767963457794;0.810972068360855;0.65380204655712;0.822572871919146;0.655458536338966;0.82164494592009;0.652232698418575;0.825783780474068;0.655683744010843;"ada2023-rf2023";0.0459857191144206;NA;NA
"Occurrence.Empididae";0.688359985124582;"family";1.24081318179951;1.10046003470083;0.439791508515708;1.1347822588265;0.437908150762396;1.10919717239426;0.437817431493794;1.11719772022133;0.438660833458664;1.11515442446751;0.438313321110306;0.113113842726215;0.645561866228813;0.0854527696258355;0.64707970773867;0.106072381673429;0.647152820492413;0.099624555405597;0.646473103370415;0.101271294643864;0.646753171597812;1.16093511814017;1.13489878067723;1.1723136102639;1.12816307808941;1.16647827369505;1.12850361255489;1.17924070517195;1.13418716406988;1.16237206069667;1.12589632595924;0.0643755763002919;0.0853588619752435;0.0552053867096003;0.0907873202529432;0.0599082192185148;0.0905128756625113;0.0496226809407902;0.0859323702340054;0.063217511107583;0.0926141481456636;0.970215039624667;0.706414123628444;0.981409303331027;0.708130086859956;0.971765702245838;0.70797741144892;0.969454736870121;0.706266124730285;0.976667689749515;0.709076753422314;"rf2024-ada2023";0.0429914672048734;NA;NA
"Occurrence.Hydropsychidae";0.686872443287467;"family";1.24316052010929;0.850849088105758;0.277192491019131;0.865273614537992;0.277448505431428;0.847753203679871;0.276915696658008;0.842069268478466;0.275873897160959;0.835921169787317;0.277094430788514;0.315575845321281;0.777025986157635;0.303972736793538;0.776820047818896;0.318066178931308;0.777248639915252;0.322638344077693;0.778086664836568;0.327583882961608;0.777104865939474;0.523075702766122;0.561614012430718;0.528903816733594;0.55757748924527;0.536700326748808;0.561723827970436;0.52513650654538;0.576391130358608;0.528015633100408;0.559487512057796;0.579237198813122;0.548236930512124;0.574549056072746;0.551483915209718;0.568277532895249;0.548148594743781;0.577579485472067;0.536350196909458;0.575263512185869;0.549947490281778;1.17808082233729;0.867438415286082;1.18315535455062;0.869302170636289;1.16827282299971;0.867270751351879;1.17171253172023;0.860485411836303;1.16643579278261;0.868318635030167;"ada2020-rf2023";0.0428870019036636;NA;NA
"Occurrence.Leuctridae";0.680550390479732;"family";1.25290778493388;0.727997453335202;0.233576706221844;0.726381607557175;0.23214105375239;0.762636815849854;0.233356574937607;0.731164951199789;0.232847489868768;0.726644411623866;0.231385173418617;0.418953683511814;0.813572308329003;0.420243360052623;0.814718164781264;0.39130650713444;0.813748004646708;0.416425566197295;0.814154327502198;0.420033604737946;0.81532146563298;0.982958874407321;1.05414675768611;0.992732310453821;1.04144357396146;0.95967017925628;1.04754000270232;0.993213780672995;1.03930422374931;0.981103772596085;1.05669710051804;0.215457924176601;0.158639789486388;0.207657321319771;0.16877875093064;0.234045641031014;0.163912926953675;0.207273039072534;0.170486259047263;0.216938561326073;0.156604250348871;0.880310396386096;0.663461119692696;0.875311591495585;0.667209452845183;0.906180575852761;0.665583144287987;0.877196357611582;0.668159496359692;0.88053140848805;0.661889957932943;"ada2022-rf2024";0.077441390682143;NA;NA
"Occurrence.Ceratopogonidae";0.595760505764225;"family";1.34938646630396;1.08569278311577;0.45433207869543;1.09596017868232;0.4549624287688;1.10539392848732;0.454901556800663;1.11072372994773;0.455132867545903;1.10296887895802;0.454374961857539;0.19541746547263;0.663304701773193;0.187808529246475;0.662837563492863;0.180817389168687;0.662882674341132;0.176867593025402;0.66271125514358;0.182614538902922;0.663272922025004;1.15034129599797;1.12251823054558;1.11346403652278;1.12672086692325;1.16575865121543;1.13116431300159;1.12561691819345;1.11773950552431;1.14616390782399;1.13595696854825;0.147507904722939;0.168126953562669;0.174836813375927;0.165012474143605;0.136082449078878;0.161719536064487;0.165830585750151;0.171668359335297;0.150603673265388;0.158167806692405;0.968192588491683;0.71598713796056;0.99128625772621;0.714709423866896;0.970268577912697;0.713101595810778;0.992581063065954;0.71798735680962;0.978634041872359;0.711207532669947;"ada2021-ada2022";0.0387543642970482;NA;NA
"Occurrence.Psychodidae";0.517664559315731;"family";1.3850459547219;1.19620994923177;0.508577455297876;1.19331578449442;0.507527744902657;1.19673395607737;0.507233196059163;1.21490455750272;0.507532811540103;1.20030195408954;0.507548328546119;0.13633916249952;0.632808244691064;0.138428742796461;0.633566133186849;0.135960830759826;0.633778796775729;0.122841698240506;0.633562475086244;0.133384744385217;0.633551271843519;1.30132832836068;1.26330799072944;1.31389306968134;1.25179753943837;1.3159531885119;1.25993562314032;1.31100934335462;1.26267684308832;1.31260951249922;1.2674035681088;0.0604439340628465;0.0878945305586675;0.0513722196711141;0.0962050499691085;0.0498848186043539;0.0903293722168976;0.0534542634595458;0.0883502177067861;0.0522989450102591;0.0849375330919748;0.948798160443884;0.685665576650555;0.941492739454417;0.689261256792223;0.942132254956875;0.686361231347513;0.953083850917741;0.685523831277216;0.945393742813438;0.683910909042069;"rf2021-ada2022";0.0463202313647546;NA;NA
"Occurrence.Leptophlebiidae";0.450353291186315;"family";1.37641891352558;0.998163366052143;0.34323130503841;0.992407775596415;0.343122810621162;0.994232085092075;0.343175541788718;0.9930416551148;0.341617534963427;0.992484725744312;0.341822868651951;0.274811355581105;0.750634562148487;0.278992924432833;0.750713385838123;0.27766752162288;0.750675075432011;0.27853239638272;0.751807003226653;0.278937018380438;0.751657823579014;1.31846767835759;1.33137307603272;1.3014729676794;1.33235790165213;1.30818158118302;1.34163620813226;1.29356819440211;1.34109646176979;1.30044187657716;1.3351942391272;0.0421029052990532;0.0327268370480882;0.0544499535059491;0.032011338583388;0.0495759914892265;0.0252704355131446;0.0601929531113853;0.0256625736603041;0.055199064908085;0.029950674168508;0.852014139909418;0.610137531655484;0.856815562891267;0.609804085010523;0.854725642038219;0.606997665938265;0.86048140796842;0.606688703733812;0.857290387904268;0.608544228188614;"ada2023-rf2022";0.0349225175982407;NA;NA
"Occurrence.Sphaeriidae";0.428783934548159;"family";1.36593829332975;0.864990657049858;0.330941915120721;0.869249398935088;0.330753680702551;0.892543744971136;0.332589329995029;0.898187306816995;0.330599547601336;0.868236284672955;0.331550679381931;0.366742508593659;0.757718253645278;0.363624694336583;0.757856059590897;0.346570962004895;0.756512185346034;0.342439324526527;0.75796890004787;0.364366392747909;0.75727257885588;1.22348956191413;1.21942764091605;1.21832171934704;1.21484934148891;1.23995774683912;1.22283984619452;1.23283961126929;1.22212662582968;1.23359665011318;1.22793531231591;0.104286359135869;0.107260081314915;0.108069723722924;0.110611842847256;0.092230042239701;0.104762014385295;0.0974412114444852;0.105284161226273;0.0968869852048481;0.101031636412677;0.835897356758724;0.641309651592517;0.839846484658254;0.642718893222963;0.84054313993723;0.640744012628159;0.845923666452652;0.640335168382429;0.833034531977029;0.638781823954727;"rf2021-ada2022";0.0183818006075555;NA;NA
"Occurrence.Taeniopterygidae";0.440684269245073;"family";1.37218774001095;0.962710861899027;0.330555297724481;0.963034281390339;0.293769510084289;0.96595673701166;0.329851104614922;0.988978022786464;0.294610070706135;0.992787587188413;0.332340987596155;0.298411701381806;0.759103446207847;0.298176005141501;0.785911576442196;0.296046226878582;0.759616636268525;0.27926915978817;0.785299006749773;0.276492889245249;0.757802101049596;1.01706966822115;1.11581351906136;1.02377154087443;1.16399589323456;1.01915203777866;1.10153575454134;1.02116829828429;1.14406081607719;1.02672187547931;1.09365931125754;0.258797000902341;0.186836111032109;0.2539129223919;0.151722567332315;0.25727944649139;0.197241221137459;0.255810069928086;0.16625051899381;0.251762826950253;0.202981283560502;0.97318663310387;0.675279154980953;0.970087864389601;0.647191406317167;0.973752951843543;0.679877716973441;0.984033696851034;0.653949352826191;0.983175987191474;0.68341078240823;"ada2020-rf2021";0.107074433570026;NA;NA
"Occurrence.Perlodidae";0.443659352919301;"family";1.37357028038428;1.00266822210636;0.32230718986006;1.00096437771963;0.321658443612117;1.05417992734075;0.319839481993027;1.00021010389712;0.321799565570248;0.958055752205058;0.322298073159292;0.270027725246176;0.76535078367458;0.27126817461456;0.765823090230136;0.232525672406203;0.76714734836608;0.271817308381705;0.765720349249098;0.302506929651227;0.765357420903776;0.863554842084469;0.889955782577745;0.865168329957244;0.887498840825899;0.903136828873522;0.879778928744386;0.850597521860366;0.900677778611867;0.840820424732763;0.882622740309848;0.371306401706017;0.352085732133952;0.37013173456607;0.353874458773522;0.342489538561615;0.359494784279803;0.380739716046859;0.344279800259012;0.38785773342626;0.357424404914383;1.07203283303522;0.752898920166913;1.07025616234415;0.753579922187893;1.07844646716252;0.75580662438254;1.07767537526497;0.748683381458764;1.06036974542055;0.755661062336577;"ada2024-ada2022";0.045368194864645;NA;NA
"Occurrence.Athericidae";0.368910375604314;"family";1.31674643300699;0.970037143877545;0.346899387910765;0.971790670970282;0.349781904948395;0.967853794549191;0.350705751213923;0.985005470540141;0.349627567075382;0.967486549971466;0.346583226007694;0.263307559024621;0.736548070900357;0.26197584697378;0.734358950075441;0.264965698567378;0.733657337189035;0.251939898336592;0.73447616161226;0.265244601603315;0.73678817931846;1.02101313652643;0.965790356193532;1.01531067721416;0.979722607977973;0.993473294008727;0.966895457593672;1.00507399751004;0.980449636260374;1.00153702760029;0.97026001198892;0.224593960589061;0.266532772002274;0.228924679981446;0.255951955958121;0.245509029601107;0.26569350532766;0.236698902449427;0.255399816028841;0.239385045977963;0.263138302358501;0.974834080487533;0.733853776976825;0.978475037828458;0.72981051172446;0.987271945908687;0.734845612252827;0.990015911772736;0.729488967436777;0.983118871567038;0.732099831133048;"rf2020-ada2020";0.0419388114132126;NA;NA
