"Taxa";"Prevalence";"Taxonomic level";"Null_model";"ada2020.fit";"rf2020.fit";"ada2021.fit";"rf2021.fit";"ada2022.fit";"rf2022.fit";"ada2023.fit";"rf2023.fit";"ada2024.fit";"rf2024.fit";"expl.pow_ada2020.fit";"expl.pow_rf2020.fit";"expl.pow_ada2021.fit";"expl.pow_rf2021.fit";"expl.pow_ada2022.fit";"expl.pow_rf2022.fit";"expl.pow_ada2023.fit";"expl.pow_rf2023.fit";"expl.pow_ada2024.fit";"expl.pow_rf2024.fit";"ada2020.pred";"rf2020.pred";"ada2021.pred";"rf2021.pred";"ada2022.pred";"rf2022.pred";"ada2023.pred";"rf2023.pred";"ada2024.pred";"rf2024.pred";"expl.pow_ada2020.pred";"expl.pow_rf2020.pred";"expl.pow_ada2021.pred";"expl.pow_rf2021.pred";"expl.pow_ada2022.pred";"expl.pow_rf2022.pred";"expl.pow_ada2023.pred";"expl.pow_rf2023.pred";"expl.pow_ada2024.pred";"expl.pow_rf2024.pred";"ada2020.likelihood.ratio";"rf2020.likelihood.ratio";"ada2021.likelihood.ratio";"rf2021.likelihood.ratio";"ada2022.likelihood.ratio";"rf2022.likelihood.ratio";"ada2023.likelihood.ratio";"rf2023.likelihood.ratio";"ada2024.likelihood.ratio";"rf2024.likelihood.ratio";"Big.model.diff";"Big.pred.expl.pow.diff";"chGLM.model.diff";"chGLM.pred.expl.pow.diff"
"Occurrence.Psychomyiidae";0.336184455187802;"family";1.27694430252207;0.97011020585061;0.342470233179876;0.969563805297265;0.342567253677406;0.897743022699824;0.341231956895366;0.915040093483412;0.343023948256244;0.904440215028022;0.341763390309159;0.240287768280448;0.731804877860789;0.240715665215549;0.731728899216037;0.296959921488583;0.732774596181365;0.283414247844536;0.731371252779982;0.291715219495731;0.732358420305296;1.32561306376096;1.32001623285119;1.32090111382865;1.32486672496555;1.32786383192697;1.33860369186571;1.31232103957849;1.34179500151097;1.31742498081038;1.34095681223976;-0.038113456587545;-0.0337304690925418;-0.0344234366524501;-0.0375289841137368;-0.0398760770570238;-0.0482866709392518;-0.0277042130863073;-0.0507858477936823;-0.0317012090569284;-0.0501294454200218;0.837150488999893;0.61337854822296;0.838895901869585;0.611922440540367;0.806492722824694;0.607328245325614;0.819844596582172;0.606903471182346;0.813432457436911;0.60677531620723;"ada2023-rf2023";0.023081634707375;NA;NA
"Occurrence.Nematoda";0.335812569728524;"phylum";1.27643766236218;1.16267507278197;0.484514139120899;1.14367496248467;0.484362847029495;1.17613089766678;0.485860653862396;1.16623027262716;0.484015645535811;1.14271672109881;0.483015891197109;0.0891250649637545;0.620416920146139;0.104010327955865;0.620535446961717;0.0785833634129627;0.619362019635756;0.0863398135174614;0.620807455148189;0.104761043336738;0.621590693036088;1.31063833265995;1.28700105909236;1.30021132811716;1.28813344494571;1.31346385212001;1.27215648829135;1.30699640243188;1.28139767359165;1.31272535403846;1.28230227749487;-0.0267938429789644;-0.00827568555963211;-0.0186250111979525;-0.00916283100099883;-0.0290074406683603;0.00335400168537027;-0.023940644318775;-0.00388582331572314;-0.0284288788605042;-0.00459451746499013;0.928688753753656;0.669487047888025;0.924716400238385;0.669057482879716;0.933638017697222;0.674928906598382;0.93203672095877;0.671198060101382;0.918508319679455;0.670559263495183;"rf2022-ada2022";0.0323614423537306;NA;NA
"Occurrence.Hydraenidae";0.317218296764597;"family";1.24950976125645;1.04141896585564;0.400095097122951;1.01548469918023;0.400760071044044;1.0185539388361;0.400377948498965;1.01349050872656;0.400804350989824;1.01581443400598;0.400152460056063;0.166537951005333;0.679798342094876;0.187293504486823;0.679266154238716;0.184837149401784;0.679571972213835;0.188889482778078;0.679230716383685;0.187029613130411;0.679752433743544;0.983392886527542;1.0308421282734;0.977992739364023;1.0264287758338;0.977854983512861;1.01916901607547;0.971433508413635;1.0300281082177;0.975503072431159;1.03843368929883;0.212977027455401;0.175002740885485;0.217298840162241;0.178534808082112;0.217409088081412;0.18434489455237;0.222548283707038;0.175654212431319;0.21929135515497;0.168927109257131;1.02943801791352;0.729516337659394;1.01892278888055;0.731371052398628;1.02055793991367;0.733890434147642;1.02125115704053;0.730072175912627;1.02036017813839;0.726773347161906;"ada2023-rf2024";0.0536211744499073;NA;NA
"Occurrence.Planariidae";0.326143547787281;"family";1.26282770894167;1.02760897733415;0.385339287508457;1.05384360844309;0.383569661729311;1.05741070770229;0.386831093727383;1.05802659611434;0.386471747355105;1.03349810713157;0.385255670849277;0.186263517930444;0.694859968006723;0.16548900457191;0.696261288049526;0.162664312625458;0.69367864595593;0.162176606814373;0.693963202883002;0.18160007116275;0.694926181836677;1.06906504889924;0.981912690044252;1.08429210249259;0.988581094143696;1.07167151053858;0.977538600975506;1.08629305291526;0.986873604894144;1.05839669773566;0.985211573862783;0.153435546805363;0.222449204201293;0.141377644143322;0.217168670639804;0.151371558487013;0.225912930121919;0.139793144208373;0.218520786401489;0.161883533088875;0.219836904997552;0.979485313305898;0.742088551517292;0.984891055948738;0.738964264174029;0.992894959580212;0.744268253299069;0.985966176815475;0.740669383941491;0.987627876597497;0.740834554787324;"rf2022-ada2023";0.0861197859135467;NA;NA
"Occurrence.Sericostomatidae";0.276682781703235;"family";1.17958594850796;0.990722396942679;0.358268025161178;0.990716824423317;0.358254503886973;0.98138554042366;0.356842316287774;0.992278076363323;0.357089939542975;0.981028310160561;0.358466685328056;0.160110038445416;0.696276455637382;0.160114762577107;0.696287918366505;0.168025406147811;0.69748510760141;0.158791203287527;0.697275183724719;0.168328249924096;0.696108040468374;1.03676003452753;0.966858029779716;1.04120296241346;0.974928164305179;1.06067088740439;0.976488188741307;1.06193800354434;0.963778361637049;1.05263517155706;0.988966252566539;0.121081396536717;0.180341177340507;0.11731488177656;0.173499679664419;0.100810849140737;0.172177160997509;0.0997366449748147;0.182951981705008;0.107623168207011;0.161598818791063;0.977244093046496;0.737643227894586;0.975072873237691;0.734667818013908;0.961132816034286;0.733576834607864;0.965769618295298;0.738344906152231;0.964829930789878;0.729606607727306;"rf2023-ada2023";0.0832153367301928;NA;NA
"Occurrence.Tipulidae";0.274823354406843;"family";1.1759949175073;1.11022842416033;0.474645132489691;1.12066287388671;0.474496630579803;1.12009128657334;0.475160025054431;1.1206827412004;0.475342194606936;1.11826842588582;0.474851965887057;0.0559241305960448;0.59638844911356;0.0470512608488771;0.596514726793572;0.0475373065833083;0.595950613407746;0.0470343668016367;0.595795706656201;0.0490873648874614;0.596212569614179;1.24747389803742;1.24469831652036;1.25110353940804;1.24965954016152;1.24820525223753;1.24684598634203;1.24834502932499;1.24533015459042;1.24372960175536;1.23829297064783;-0.0607817087182909;-0.0584215101530282;-0.0638681517943499;-0.0626402559718279;-0.0614036112360876;-0.0602477678941976;-0.0615224698173426;-0.0589587897455279;-0.0575977695478782;-0.0529747639323027;0.933678856186211;0.680432541891419;0.936861019460283;0.678696348930658;0.93795155087218;0.679877271190963;0.938163400617603;0.680454732535367;0.939196470468175;0.682685835608529;"rf2024-ada2021";0.0108933878620472;NA;NA
"Occurrence.Polycentropodidae";0.256972852361473;"family";1.13973348306801;0.873060342577167;0.314978160571695;0.891484845784532;0.314813079291906;0.891552367884219;0.316302251584257;0.885576675811476;0.31458400272049;0.947547140239226;0.313906308860214;0.233978508530778;0.723638758314078;0.217812884302762;0.72378360031639;0.217753640540347;0.722477003366774;0.222996701450217;0.723984591666402;0.168623933300128;0.72457919897622;1.30668736270902;1.15887123005993;1.29321238597789;1.16529843624753;1.31390858015466;1.16312076956093;1.27300535207167;1.17236951236502;1.28253726936297;1.16959989261233;-0.146485017875926;-0.0167914229740832;-0.134662098806417;-0.0224306415134025;-0.152820900389624;-0.02051996088591;-0.116932485518381;-0.0286347903100647;-0.125295771701428;-0.0262047311832321;0.805080094639909;0.655769099318885;0.818023863275328;0.653611148523177;0.809629853994802;0.654810591146173;0.823893225535226;0.651229766688172;0.84578079157731;0.651911285253043;"rf2020-ada2022";0.13602947741554;NA;NA
"Occurrence.Odontoceridae";0.246931944960952;"family";1.11787874294149;0.933814855596797;0.306453400590797;0.883787776034862;0.306902206081619;0.88416401772294;0.30629495966821;0.892573015189634;0.306741919154475;0.891707151657554;0.305960871208021;0.164654609014535;0.725861679966807;0.209406403319433;0.725460200384468;0.209069835788783;0.7260034135167;0.201547555291197;0.72560358528033;0.202322114730267;0.726302272818121;0.923459683336518;0.933939777451402;0.905183062161067;0.952562248718239;0.906387493390752;0.947616586271523;0.911644047669436;0.939069686087287;0.902250061709625;0.932392936559683;0.173917842907892;0.164542859993996;0.190267220057116;0.147884102159639;0.189189794408503;0.152308251449483;0.184487536393602;0.159953893016785;0.19289093973151;0.165926588686831;1.00519101299212;0.730706657989465;0.989359373226028;0.72409692494865;0.988949769496364;0.725669346641373;0.990509802634402;0.728939979167643;0.994742414711076;0.731091955756099;"ada2024-rf2021";0.0450068375718706;NA;NA
"Occurrence.Dugesiidae";0.223131275567125;"family";1.06168527830838;0.862144113946275;0.287973258396417;0.863887468391371;0.288820853586362;0.874073346346285;0.287191101263274;0.864582801967138;0.288826295620099;0.861200743574658;0.288400624538494;0.187947566420103;0.728758357792007;0.186305503107447;0.727960008971256;0.176711437744552;0.729495070591103;0.185650569305526;0.72795488312667;0.188836125761455;0.728355822171697;1.46260550933242;1.37728508836836;1.42702044291355;1.36890652734164;1.39978391558624;1.37593514218072;1.42211584925713;1.37947355159832;1.39925128023997;1.36677339490271;-0.377626250655785;-0.297263055736095;-0.344108722301642;-0.28937129986653;-0.318454672194904;-0.295991543155835;-0.339489091836168;-0.299324366441507;-0.317952983646379;-0.287362105162112;0.740647335339404;0.580041332536976;0.754600742670773;0.582723289793072;0.768853154137063;0.580206026473611;0.756716558015623;0.579654160671114;0.764123947266164;0.583222577920204;"rf2024-ada2020";0.0902641454936723;NA;NA
"Occurrence.Lymnaeidae";0.216065451840833;"family";1.04376566858319;0.835260636603725;0.271334240214127;0.775405519453031;0.271527876209161;0.786401175044307;0.271590782372295;0.73288893809026;0.271690204059942;0.788221345071914;0.272425239199051;0.199762301305128;0.74004295371926;0.257107660471751;0.739857436988003;0.246573058767327;0.739797168514889;0.297841498192706;0.739701915633289;0.24482920947012;0.738997700921853;1.22961886903475;1.20419312798434;1.21417256436904;1.21633634643984;1.2258248785023;1.19513514042744;1.25548260320023;1.20653420542298;1.24411584297869;1.20563405638697;-0.178060273532313;-0.153700647788998;-0.163261640917126;-0.165334694415563;-0.174425367109689;-0.1450224666325;-0.202839527098484;-0.155943562562982;-0.191949381385052;-0.155081157271157;0.821043557926392;0.627237862736155;0.803013685306245;0.623501420800189;0.802750075686097;0.630165888595124;0.770052309092853;0.626615602397978;0.796166257331091;0.627128127846266;"rf2022-ada2023";0.0578170604659848;NA;NA
"Occurrence.Erpobdellidae";0.209743399033098;"family";1.02723298994066;0.614539828507236;0.197438369601874;0.617719925231086;0.196774452821472;0.615855460866051;0.197871789305958;0.640659928651169;0.197485785450708;0.614323624395584;0.197137860191402;0.401752246544639;0.807795922117651;0.398656457415014;0.808442237789853;0.400471492935965;0.807373992810154;0.376324616786134;0.807749763311131;0.401962718865689;0.808088464718419;1.38321542071972;1.30699093546677;1.39260755688421;1.32030294873078;1.39629664570183;1.3177107435572;1.38756770846615;1.31109265355073;1.4025607081104;1.31957784833285;-0.346544974961928;-0.272341278235491;-0.355688116056957;-0.285300376506639;-0.359279403382955;-0.282776893325162;-0.350781879139508;-0.276334255606864;-0.365377399134562;-0.284594499256762;0.680901382491895;0.57420070532631;0.678789770422268;0.570202197868026;0.676907537357095;0.571255061096397;0.688352725572443;0.573037892721437;0.674274121795948;0.570512617094611;"rf2020-ada2024";0.0930361208990714;NA;NA
"Occurrence.Scirtidae";0.198214949795463;"family";0.995835677331573;0.908785647268494;0.315505377377508;0.849809443091799;0.315069061706723;0.856126692192857;0.316314316669436;0.858904420642074;0.315044537987302;0.864044061592829;0.315811589496907;0.0874140503745934;0.68317526218489;0.146636877512828;0.683613402412959;0.140293211338921;0.682362940121781;0.137503867160512;0.683638028684119;0.13234273358421;0.682867769567012;0.504316965281662;0.546111410350802;0.465806370512222;0.545851715282901;0.477514098298826;0.554580007557482;0.478963491950987;0.538604580903526;0.486421731273655;0.53905010798586;0.493574113921061;0.451604895484209;0.53224574986067;0.451865676528524;0.520489063438291;0.443100884833202;0.519033608803402;0.459143116516208;0.511544181087122;0.458695726356891;1.22413483947623;0.891096086187626;1.21167237844337;0.891017396698238;1.20841102841219;0.887689867374081;1.20921388220643;0.894240949685743;1.20781285379959;0.894384721396557;"ada2021-rf2022";0.0891448650274678;NA;NA
"Occurrence.Ephemerellidae";0.197471178876906;"family";0.993753370585415;0.621015965314965;0.196671544940837;0.621552375504007;0.196033589021754;0.612388023376586;0.196286339727904;0.608959074591567;0.195011679780425;0.593611558020834;0.188857900380715;0.375080393489254;0.802092198364089;0.374540611482048;0.802734164407139;0.383762569765343;0.802479824936571;0.387213072562629;0.803762497262732;0.402657062012137;0.809954958674043;1.13097242908507;1.08959425122534;1.13861955689897;1.1017794625895;1.09528890925667;1.10280067842465;1.13797315496067;1.0892266356419;1.13181522501197;1.10116153967736;-0.138081603103215;-0.0964433263591996;-0.145776799960149;-0.10870513268342;-0.102173780413387;-0.109732767774158;-0.145126334807088;-0.0960733999827718;-0.138929696756871;-0.108083325572695;0.774933366616081;0.639888489386821;0.772183092444881;0.635798915149095;0.785487729286956;0.635554667428389;0.767584244913809;0.63947517511264;0.764065444231335;0.633717619008781;"rf2023-ada2021";0.0497033999773772;NA;NA
"Occurrence.Asellidae";0.188174042394942;"family";0.967128897507618;0.61970992843634;0.170121154923539;0.562142753699055;0.171748061230028;0.617194489936652;0.170307728202142;0.583181535979221;0.170656736470704;0.584824428975973;0.171103336271116;0.359227161929096;0.824096710002196;0.418750949177767;0.822414507856565;0.361828095999178;0.823903795408201;0.396997093684064;0.823542924929136;0.39529836148716;0.823081145944387;1.22262757680744;1.17787117451872;1.25924413074026;1.17055627207305;1.22909123856977;1.16804069001144;1.20715237328027;1.16056821446782;1.23005136712427;1.17151671309152;-0.264182654409627;-0.21790505645546;-0.302043744102213;-0.210341532643358;-0.270866005283526;-0.207740450131927;-0.24818147445621;-0.20001399757438;-0.271858767010503;-0.211334617454433;0.739738285053923;0.604184895328966;0.705710142714203;0.606892195752428;0.736424636899938;0.607218563599773;0.731992201584602;0.609597888112211;0.724253746742182;0.606405309809472;"rf2023-ada2021";0.102029746527833;NA;NA
"Occurrence.Ephemeridae";0.178133134994422;"family";0.93710166506216;0.697776371029692;0.187494760741274;0.683911369492765;0.18639246257891;0.681719425591082;0.186015203096234;0.697426321345139;0.187245264104433;0.678995032509208;0.186948112379624;0.255388825946214;0.799920576676344;0.270184447439435;0.801096861175093;0.272523514782292;0.801499442342901;0.255762370992183;0.800186819546401;0.275430769334757;0.80050391611755;1.04010952297509;1.1425994225761;1.0407077945253;1.15000233743909;1.03321936250046;1.11330080911317;1.04493442393087;1.14771115340106;1.02828781084443;1.12806049820301;-0.109921753160156;-0.219290782607141;-0.110560180742258;-0.227190581678041;-0.102569124591115;-0.188025643983162;-0.11507050183457;-0.224745613193342;-0.0973065668133433;-0.203776004525811;0.842681191340675;0.620299823887956;0.836609208889853;0.617667533831001;0.838827690502983;0.628988187033791;0.840503593011204;0.618639266313838;0.839753914354378;0.624654743105768;"ada2024-rf2021";0.129884014864697;NA;NA
"Occurrence.Chloroperlidae";0.185570844179993;"family";0.959473050927388;0.648959860992521;0.243089046290083;0.639939052196839;0.24349734254072;0.654989960221695;0.245326882756112;0.657125573150373;0.243852054734113;0.638186540719671;0.241782690707797;0.323628881118378;0.746643174547609;0.333030717664972;0.746217632370846;0.31734407799301;0.744310814650824;0.315118259428733;0.745847937575302;0.334857253048613;0.748004708965927;0.595282604627466;0.539120974814549;0.606415932514107;0.552948161355779;0.621382992893611;0.540490058184031;0.602755610315815;0.535677218079401;0.608147101355385;0.55020885481678;0.379573398072942;0.438107225321798;0.367969812254789;0.423695995607879;0.352370561848498;0.436680313572523;0.371784741913057;0.441696442060944;0.366165520993451;0.426551007050203;1.02720202793;0.862417346975467;1.01690282294518;0.856650373324405;1.01694545629247;0.862792042219339;1.0275578642941;0.864233249707654;1.01513308252007;0.857089371188353;"rf2023-ada2022";0.089325880212446;NA;NA
"Occurrence.Stratiomyidae";0.172182967645965;"family";0.918661513424507;0.836251806116787;0.344071752515521;0.806555168463645;0.345353753525347;0.81081715859772;0.344384111978779;0.804057912398239;0.343968935255944;0.849547044788109;0.344373536182752;0.0897062803910447;0.62546406104146;0.122032264683606;0.624068551388458;0.117392917032928;0.625124045204622;0.124750628334324;0.625575981763157;0.075233878448613;0.625135557383888;0.770155267536053;0.790273781954271;0.752049016738227;0.780186495995273;0.758997864719184;0.784406964105072;0.76258385306696;0.790576399706506;0.782115886604142;0.774371857087647;0.161655020612396;0.139755208631353;0.181364402722387;0.150735625043264;0.173800302257295;0.146141475785757;0.169896809735431;0.139425797038712;0.148635405777872;0.157065093321467;1.03360042919646;0.800034029999623;1.02762783765938;0.804594889383284;1.02624821961662;0.802509628384403;1.02095353584054;0.799871865533765;1.03429039107738;0.806542117307503;"ada2021-rf2023";0.0419386056836752;NA;NA
"Occurrence.Dytiscidae";0.164373373001116;"family";0.8937025840299;0.740880240178848;0.268901389615667;0.736729342107266;0.26742108343009;0.772649338862082;0.267582029539184;0.782918772203274;0.268582030917624;0.746250856947051;0.268969814401309;0.170999107065286;0.699115349534817;0.175643714953588;0.700771724051384;0.135451376476906;0.700591634934523;0.123960491785844;0.699472692910287;0.164989706550871;0.699038786272201;0.933491838958018;0.937089837800464;0.939160464838654;0.953179128081973;0.940999794466514;0.956721803658718;0.926005176810774;0.948073108537663;0.917785232700521;0.94094456288187;-0.0445218080814981;-0.048547754639941;-0.0508646630557735;-0.0665507128600669;-0.0529227634358409;-0.0705147559769286;-0.0361446787310553;-0.0608373808908497;-0.0269470505075949;-0.0528609625799063;0.908186250799522;0.715986315887997;0.903738200846684;0.709724067133665;0.919270160291474;0.708525033725126;0.930956057279698;0.711951463731629;0.917807883150832;0.714632128532641;"ada2024-rf2022";0.0435677054693336;NA;NA
"Occurrence.Hydroptilidae";0.156563778356266;"family";0.867855311158231;0.59332105511905;0.205136304551222;0.594137105068128;0.204483033645479;0.593297767887915;0.206202398899348;0.550242153514637;0.20521922557983;0.593489957723595;0.204741292808695;0.316336435935145;0.763628450602613;0.315396129482461;0.764381192329655;0.316363269015308;0.76240002653881;0.365974781233649;0.763532903536713;0.316141815239306;0.764083609126677;1.35893080868125;1.31741273849689;1.37310487771606;1.31693240299942;1.36355783430777;1.3217456900422;1.30761729885501;1.32315647781672;1.37067629688647;1.30821518793795;-0.56584950418479;-0.518009651561256;-0.582181799271967;-0.51745617739189;-0.57118106759983;-0.523002363467951;-0.506722701402698;-0.524627965980697;-0.579383428623807;-0.507411628549031;0.681945949793786;0.57341921413024;0.677406403001007;0.573369634030857;0.680362160776661;0.572483339337307;0.684759516837194;0.571798497869353;0.678010049024557;0.575948548633742;"ada2023-ada2021";0.075459097869269;NA;NA
"Occurrence.Hydrobiidae";0.137597619933061;"family";0.801156770193558;0.433345853850006;0.146062889560433;0.396087293795297;0.145933343163953;0.45300750857144;0.144088375044073;0.398829317070493;0.144272869169489;0.430245606017568;0.145017563459687;0.459099804217706;0.817685008734128;0.505605758409053;0.817846707918732;0.434558222029386;0.820149588189511;0.502183178238466;0.819919303515799;0.462969518545514;0.818989779709843;1.27193117318798;1.17686508666446;1.22403779988974;1.17807484720897;1.24714298660864;1.1907382366341;1.1608903032373;1.19498103259076;1.2191366101228;1.1878602884571;-0.587618329532036;-0.468957300804102;-0.527838052961865;-0.470467318056046;-0.556677835110017;-0.486273699398957;-0.449017653507222;-0.491569536761264;-0.521720411634613;-0.482681458424321;0.657511739939069;0.597260986051445;0.661017309227643;0.596861162046054;0.672288483928082;0.592547090914123;0.68315705773715;0.591345942509878;0.674053697034489;0.593676119020583;"ada2023-ada2020";0.138600676024814;NA;NA
